이름,ERA,IP,S0
강재민,0,1 2/3,2
황영국,0,1 2/3,3
이현호,3.18,11 1/3,10
서폴드,4.11,46,24
김범수,4.7,15 1/3,15
윤대경,4.91,3 2/3,5
김민우,5.25,36,36
김진영,5.28,15 1/3,23
정우람,5.63,8,8
박상원,5.93,13 2/3,10
박주홍,6.75,2 2/3,4
김이환,6.85,23 2/3,16
이태양,7.27,8 2/3,8
윤규진,7.36,3 2/3,4
장시환,7.48,27 2/3,34
안영명,7.59,10 2/3,8
장민재,7.59,21 1/3,14
문동욱,9,1,0
윤호솔,9,1,1
채드벨,9,11,7
송윤준,10.13,2 2/3,0
신정락,10.57,7 2/3,10
김종수,11.25,4,2
임준섭,14.29,5 2/3,3
노시환,18,1,0
